MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
4.110873864173311,RL,65.0,8450.0,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.283203728737988,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,0.0,5.017279836814924,856.0,GasA,Ex,Y,SBrkr,6.75110146893676,-1.3877787807814457e-17,1710.0,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,Gd,Typ,0.0,Gd,Attchd,RFn,2.0,TA,TA,Y,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,WD,Normal,12.24769911637256
3.044522437723423,RL,80.0,9600.0,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6.0,7.5,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,0.0,5.652489180268651,1262.0,GasA,Ex,Y,SBrkr,0.0,-1.3877787807814457e-17,1262.0,0.0,0.6931471805599452,2.0,0.0,3.0,0.6931471805599453,TA,Typ,1.0,TA,Attchd,RFn,2.0,TA,TA,Y,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,WD,Normal,12.109016442313738
4.110873864173311,RL,68.0,11250.0,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,0.0,6.075346031088684,920.0,GasA,Ex,Y,SBrkr,6.7650389767805414,-1.3877787807814457e-17,1786.0,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,Gd,Typ,1.0,TA,Attchd,RFn,2.0,TA,TA,Y,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,12.317171167298682
4.2626798770413155,RL,60.0,9550.0,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7.0,5.0,1915.0,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,0.0,6.293419278846481,756.0,GasA,Gd,Y,SBrkr,6.6293632534374485,-1.3877787807814457e-17,1717.0,1.0,0.0,1.0,0.0,3.0,0.6931471805599453,Gd,Typ,1.0,Gd,Detchd,Unf,3.0,TA,TA,Y,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,2.0,2006.0,WD,Abnorml,11.849404844423074
4.110873864173311,RL,84.0,14260.0,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8.0,5.0,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,0.0,6.19644412779452,1145.0,GasA,Ex,Y,SBrkr,6.960347729101308,-1.3877787807814457e-17,2198.0,1.0,0.0,2.0,1.0,4.0,0.6931471805599453,Gd,Typ,1.0,TA,Attchd,RFn,3.0,TA,TA,Y,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,WD,Normal,12.429220196836383
3.9318256327243257,RL,85.0,14115.0,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5.0,5.0,1993.0,1995.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,0.0,4.174387269895637,796.0,GasA,Ex,Y,SBrkr,6.340359303727752,-1.3877787807814457e-17,1362.0,1.0,0.0,1.0,1.0,1.0,0.6931471805599453,TA,Typ,0.0,Gd,Attchd,Unf,2.0,TA,TA,Y,3.713572066704308,3.4339872044851463,0.0,5.771441123130017,0.0,0.0,6.552507887034589,10.0,2009.0,WD,Normal,11.870606902224587
3.044522437723423,RL,75.0,10084.0,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,0.0,5.762051382780177,1686.0,GasA,Ex,Y,SBrkr,0.0,-1.3877787807814457e-17,1694.0,1.0,0.0,2.0,0.0,3.0,0.6931471805599453,Gd,Typ,1.0,Gd,Attchd,RFn,2.0,TA,TA,Y,5.545177444479563,4.060443010546419,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,WD,Normal,12.634606283893019
4.110873864173311,RL,75.8,10382.0,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7.0,6.0,1973.0,1973.0,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,3.4965075614664802,5.37989735354046,1107.0,GasA,Ex,Y,SBrkr,6.891625897052252,-1.3877787807814457e-17,2090.0,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,TA,Typ,2.0,TA,Attchd,RFn,2.0,TA,TA,Y,5.4638318050256105,5.14166355650266,5.43372200355424,0.0,0.0,0.0,5.8607862234658645,11.0,2009.0,WD,Normal,12.206077645517674
3.9318256327243257,RM,51.0,6120.0,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,6.859614903654202,952.0,GasA,Gd,Y,FuseF,6.6240652277998935,-1.3877787807814457e-17,1774.0,0.0,0.0,2.0,0.0,2.0,1.0986122886681098,TA,Min1,2.0,TA,Detchd,Unf,2.0,Fa,TA,Y,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,4.0,2008.0,WD,Abnorml,11.774527900858468
4.983606621708336,RL,50.0,7420.0,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5.0,6.0,1939.0,1950.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,0.0,4.948759890378168,991.0,GasA,Ex,Y,SBrkr,0.0,-1.3877787807814457e-17,1077.0,1.0,0.0,1.0,0.0,2.0,1.0986122886681098,TA,Typ,2.0,TA,Attchd,RFn,1.0,Gd,TA,Y,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,WD,Normal,11.678448377988165
